2026-01-14 00:14:27,706 | INFO     | karma.main | lifespan:28 | ============================================================
2026-01-14 00:14:27,706 | INFO     | karma.main | lifespan:29 | Starting Karma - Smart Task Suggestions - BACKEND API
2026-01-14 00:14:27,706 | INFO     | karma.main | lifespan:30 | ============================================================
2026-01-14 00:14:27,775 | INFO     | karma.main | lifespan:34 | Database initialized: /Users/sandy/karma/backend/data/karma.db
2026-01-14 00:14:27,776 | WARNING  | karma.main | lifespan:40 | DUMMY MODE: AI is disabled
2026-01-14 00:14:27,776 | WARNING  | karma.main | lifespan:42 | Set OPENAI_KARMA=true to enable AI
2026-01-14 00:14:27,777 | INFO     | karma.main | lifespan:46 | CORS enabled for: http://localhost:5173
2026-01-14 00:14:27,778 | WARNING  | karma.main | lifespan:52 | Authentication: DISABLED (dev mode)
2026-01-14 00:14:27,778 | INFO     | karma.main | lifespan:54 | ============================================================
2026-01-14 00:14:27,779 | INFO     | karma.main | lifespan:55 | Karma Backend is ready to accept requests!
2026-01-14 00:14:27,779 | INFO     | karma.main | lifespan:56 | ============================================================
2026-01-14 00:15:22,611 | INFO     | karma.api | dispatch:36 | [996a2567] --> GET /api/tasks/continuable (client: 127.0.0.1)
2026-01-14 00:15:22,613 | INFO     | karma.api | dispatch:36 | [75394a54] --> GET /api/tasks/stats (client: 127.0.0.1)
2026-01-14 00:15:22,614 | INFO     | karma.api | get_continuable_tasks:141 | Fetching continuable tasks
2026-01-14 00:15:22,615 | DEBUG    | karma.database | get_continuable_tasks:139 | Fetching continuable tasks
2026-01-14 00:15:22,652 | INFO     | karma.api | dispatch:62 | [75394a54] <-- ✓ 200 (39.0ms) GET /api/tasks/stats
2026-01-14 00:15:22,661 | INFO     | karma.database | get_continuable_tasks:185 | Found 0 in-progress, 0 almost-done tasks
2026-01-14 00:15:22,661 | INFO     | karma.api | dispatch:62 | [996a2567] <-- ✓ 200 (50.6ms) GET /api/tasks/continuable
2026-01-14 00:15:34,263 | INFO     | karma.api | dispatch:36 | [7a0c18bb] --> GET /api/quickwin/get (client: 127.0.0.1)
2026-01-14 00:15:34,271 | INFO     | karma.api | dispatch:62 | [7a0c18bb] <-- ✓ 200 (8.7ms) GET /api/quickwin/get
2026-01-14 00:15:35,199 | INFO     | karma.api | dispatch:36 | [cf4568f0] --> POST /api/quickwin/complete (client: 127.0.0.1)
2026-01-14 00:15:35,201 | DEBUG    | karma.database | save_task:31 | Saving task: Write down 3 things you're grateful for today...
2026-01-14 00:15:35,216 | INFO     | karma.database | save_task:36 | Task saved: db06a668-c557-43f6-8343-dd5fa6f0ee35
2026-01-14 00:15:35,219 | INFO     | karma.api | dispatch:62 | [cf4568f0] <-- ✓ 200 (19.7ms) POST /api/quickwin/complete
2026-01-14 00:15:35,980 | INFO     | karma.api | dispatch:36 | [f8de7038] --> POST /api/tasks/db06a668-c557-43f6-8343-dd5fa6f0ee35/breakdown (client: 127.0.0.1)
2026-01-14 00:15:35,981 | INFO     | karma.api | breakdown_task_by_id:207 | Breaking down task: db06a668-c557-43f6-8343-dd5fa6f0ee35
2026-01-14 00:15:35,981 | DEBUG    | karma.database | get_task:42 | Fetching task: db06a668-c557-43f6-8343-dd5fa6f0ee35
2026-01-14 00:15:35,984 | DEBUG    | karma.database | get_task:47 | Task found: db06a668-c557-43f6-8343-dd5fa6f0ee35
2026-01-14 00:15:35,985 | DEBUG    | karma.api | breakdown_task_by_id:233 | Mapped invalid category 'mindfulness' to 'health'
2026-01-14 00:15:35,986 | DEBUG    | karma.api | breakdown_task_by_id:236 | Task to break down: Write down 3 things you're grateful for today...
2026-01-14 00:15:36,015 | INFO     | karma.api | breakdown_task_by_id:260 | Task db06a668-c557-43f6-8343-dd5fa6f0ee35 broken down into 3 subtasks
2026-01-14 00:15:36,016 | INFO     | karma.api | dispatch:62 | [f8de7038] <-- ✓ 200 (35.9ms) POST /api/tasks/db06a668-c557-43f6-8343-dd5fa6f0ee35/breakdown
2026-01-14 00:15:38,392 | INFO     | karma.api | dispatch:36 | [0ffde94b] --> PUT /api/tasks/db06a668-c557-43f6-8343-dd5fa6f0ee35/status (client: 127.0.0.1)
2026-01-14 00:15:38,393 | INFO     | karma.api | dispatch:36 | [30281296] --> PUT /api/tasks/db06a668-c557-43f6-8343-dd5fa6f0ee35/status (client: 127.0.0.1)
2026-01-14 00:15:38,394 | INFO     | karma.api | update_task_status_endpoint:180 | Updating task db06a668-c557-43f6-8343-dd5fa6f0ee35 status to: completed
2026-01-14 00:15:38,395 | INFO     | karma.api | update_task_status_endpoint:180 | Updating task db06a668-c557-43f6-8343-dd5fa6f0ee35 status to: completed
2026-01-14 00:15:38,404 | INFO     | karma.api | update_task_status_endpoint:193 | Task db06a668-c557-43f6-8343-dd5fa6f0ee35 status updated to completed
2026-01-14 00:15:38,405 | INFO     | karma.api | dispatch:62 | [0ffde94b] <-- ✓ 200 (12.8ms) PUT /api/tasks/db06a668-c557-43f6-8343-dd5fa6f0ee35/status
2026-01-14 00:15:38,406 | INFO     | karma.api | update_task_status_endpoint:193 | Task db06a668-c557-43f6-8343-dd5fa6f0ee35 status updated to completed
2026-01-14 00:15:38,415 | INFO     | karma.api | dispatch:62 | [30281296] <-- ✓ 200 (22.0ms) PUT /api/tasks/db06a668-c557-43f6-8343-dd5fa6f0ee35/status
2026-01-14 00:15:52,676 | INFO     | karma.api | dispatch:36 | [76711c64] --> GET /api/tasks/continuable (client: 127.0.0.1)
2026-01-14 00:15:52,678 | INFO     | karma.api | get_continuable_tasks:141 | Fetching continuable tasks
2026-01-14 00:15:52,678 | DEBUG    | karma.database | get_continuable_tasks:139 | Fetching continuable tasks
2026-01-14 00:15:52,692 | INFO     | karma.database | get_continuable_tasks:185 | Found 0 in-progress, 0 almost-done tasks
2026-01-14 00:15:52,693 | INFO     | karma.api | dispatch:62 | [76711c64] <-- ✓ 200 (17.9ms) GET /api/tasks/continuable
2026-01-14 00:15:58,017 | INFO     | karma.api | dispatch:36 | [f8481ad6] --> GET /api/tasks/all (client: 127.0.0.1)
2026-01-14 00:15:58,021 | DEBUG    | karma.api | get_all_tasks:116 | Fetching all tasks
2026-01-14 00:15:58,044 | INFO     | karma.api | get_all_tasks:120 | Retrieved 18 tasks across 3 dates
2026-01-14 00:15:58,048 | INFO     | karma.api | dispatch:62 | [f8481ad6] <-- ✓ 200 (31.3ms) GET /api/tasks/all
