2026-01-13 22:40:13,140 | INFO     | karma.main | lifespan:28 | ============================================================
2026-01-13 22:40:13,141 | INFO     | karma.main | lifespan:29 | Starting Karma - Smart Task Suggestions - BACKEND API
2026-01-13 22:40:13,141 | INFO     | karma.main | lifespan:30 | ============================================================
2026-01-13 22:40:13,153 | INFO     | karma.main | lifespan:34 | Database initialized: /Users/sandy/karma/backend/data/karma.db
2026-01-13 22:40:13,153 | WARNING  | karma.main | lifespan:40 | DUMMY MODE: AI is disabled
2026-01-13 22:40:13,153 | WARNING  | karma.main | lifespan:42 | Set OPENAI_KARMA=true to enable AI
2026-01-13 22:40:13,153 | INFO     | karma.main | lifespan:46 | CORS enabled for: http://localhost:5173
2026-01-13 22:40:13,154 | WARNING  | karma.main | lifespan:52 | Authentication: DISABLED (dev mode)
2026-01-13 22:40:13,155 | INFO     | karma.main | lifespan:54 | ============================================================
2026-01-13 22:40:13,155 | INFO     | karma.main | lifespan:55 | Karma Backend is ready to accept requests!
2026-01-13 22:40:13,155 | INFO     | karma.main | lifespan:56 | ============================================================
2026-01-13 22:43:11,419 | INFO     | karma.main | lifespan:60 | Shutting down Karma Backend
2026-01-13 22:43:13,968 | INFO     | karma.main | lifespan:28 | ============================================================
2026-01-13 22:43:13,970 | INFO     | karma.main | lifespan:29 | Starting Karma - Smart Task Suggestions - BACKEND API
2026-01-13 22:43:13,970 | INFO     | karma.main | lifespan:30 | ============================================================
2026-01-13 22:43:13,989 | INFO     | karma.main | lifespan:34 | Database initialized: /Users/sandy/karma/backend/data/karma.db
2026-01-13 22:43:13,989 | WARNING  | karma.main | lifespan:40 | DUMMY MODE: AI is disabled
2026-01-13 22:43:13,989 | WARNING  | karma.main | lifespan:42 | Set OPENAI_KARMA=true to enable AI
2026-01-13 22:43:13,989 | INFO     | karma.main | lifespan:46 | CORS enabled for: http://localhost:5173
2026-01-13 22:43:13,989 | WARNING  | karma.main | lifespan:52 | Authentication: DISABLED (dev mode)
2026-01-13 22:43:13,989 | INFO     | karma.main | lifespan:54 | ============================================================
2026-01-13 22:43:13,989 | INFO     | karma.main | lifespan:55 | Karma Backend is ready to accept requests!
2026-01-13 22:43:13,989 | INFO     | karma.main | lifespan:56 | ============================================================
2026-01-13 22:43:56,974 | INFO     | karma.api | dispatch:36 | [3849c62e] --> GET /api/health (client: 127.0.0.1)
2026-01-13 22:43:56,978 | INFO     | karma.api | dispatch:62 | [3849c62e] <-- ✓ 200 (4.7ms) GET /api/health
2026-01-13 22:44:45,085 | INFO     | karma.api | dispatch:36 | [dff772bb] --> GET /api/health (client: 127.0.0.1)
2026-01-13 22:44:45,107 | INFO     | karma.api | dispatch:62 | [dff772bb] <-- ✓ 200 (22.7ms) GET /api/health
2026-01-13 22:46:02,740 | INFO     | karma.main | lifespan:28 | ============================================================
2026-01-13 22:46:02,740 | INFO     | karma.main | lifespan:29 | Starting Karma - Smart Task Suggestions - BACKEND API
2026-01-13 22:46:02,740 | INFO     | karma.main | lifespan:30 | ============================================================
2026-01-13 22:46:02,745 | INFO     | karma.main | lifespan:34 | Database initialized: /Users/sandy/karma/backend/data/karma.db
2026-01-13 22:46:02,745 | WARNING  | karma.main | lifespan:40 | DUMMY MODE: AI is disabled
2026-01-13 22:46:02,745 | WARNING  | karma.main | lifespan:42 | Set OPENAI_KARMA=true to enable AI
2026-01-13 22:46:02,745 | INFO     | karma.main | lifespan:46 | CORS enabled for: http://localhost:5173
2026-01-13 22:46:02,746 | WARNING  | karma.main | lifespan:52 | Authentication: DISABLED (dev mode)
2026-01-13 22:46:02,746 | INFO     | karma.main | lifespan:54 | ============================================================
2026-01-13 22:46:02,746 | INFO     | karma.main | lifespan:55 | Karma Backend is ready to accept requests!
2026-01-13 22:46:02,746 | INFO     | karma.main | lifespan:56 | ============================================================
2026-01-13 22:46:04,430 | INFO     | karma.api | dispatch:36 | [34846a58] --> GET /api/tasks/continuable (client: 127.0.0.1)
2026-01-13 22:46:04,437 | INFO     | karma.api | get_continuable_tasks:141 | Fetching continuable tasks
2026-01-13 22:46:04,437 | DEBUG    | karma.database | get_continuable_tasks:139 | Fetching continuable tasks
2026-01-13 22:46:04,458 | INFO     | karma.database | get_continuable_tasks:185 | Found 0 in-progress, 0 almost-done tasks
2026-01-13 22:46:04,462 | INFO     | karma.api | dispatch:62 | [34846a58] <-- ✓ 200 (33.3ms) GET /api/tasks/continuable
2026-01-13 22:46:12,513 | INFO     | karma.api | dispatch:36 | [df7f3495] --> GET /api/quickwin/get (client: 127.0.0.1)
2026-01-13 22:46:12,517 | INFO     | karma.api | dispatch:62 | [df7f3495] <-- ✓ 200 (4.8ms) GET /api/quickwin/get
2026-01-13 22:46:13,971 | INFO     | karma.api | dispatch:36 | [aff826e6] --> POST /api/quickwin/complete (client: 127.0.0.1)
2026-01-13 22:46:13,975 | DEBUG    | karma.database | save_task:31 | Saving task: Take a photo of something beautiful near you...
2026-01-13 22:46:14,005 | INFO     | karma.database | save_task:36 | Task saved: c5980e1c-77c4-4671-9f31-b7ca5a177868
2026-01-13 22:46:14,007 | INFO     | karma.api | dispatch:62 | [aff826e6] <-- ✓ 200 (36.0ms) POST /api/quickwin/complete
2026-01-13 22:46:15,351 | INFO     | karma.api | dispatch:36 | [d9b235d7] --> POST /api/quickwin/complete (client: 127.0.0.1)
2026-01-13 22:46:15,352 | DEBUG    | karma.database | save_task:31 | Saving task: Take a photo of something beautiful near you...
2026-01-13 22:46:15,359 | INFO     | karma.database | save_task:36 | Task saved: 32d13cc3-8adc-48b9-815a-7b21b825ba42
2026-01-13 22:46:15,360 | INFO     | karma.api | dispatch:62 | [d9b235d7] <-- ✓ 200 (8.5ms) POST /api/quickwin/complete
2026-01-13 22:46:15,932 | INFO     | karma.api | dispatch:36 | [dbf98119] --> POST /api/quickwin/complete (client: 127.0.0.1)
2026-01-13 22:46:15,933 | DEBUG    | karma.database | save_task:31 | Saving task: Take a photo of something beautiful near you...
2026-01-13 22:46:15,937 | INFO     | karma.database | save_task:36 | Task saved: fed110da-986e-4552-ac6e-d47f9eac84d8
2026-01-13 22:46:15,937 | INFO     | karma.api | dispatch:62 | [dbf98119] <-- ✓ 200 (5.2ms) POST /api/quickwin/complete
2026-01-13 22:46:16,099 | INFO     | karma.api | dispatch:36 | [71acffc9] --> POST /api/quickwin/complete (client: 127.0.0.1)
2026-01-13 22:46:16,100 | DEBUG    | karma.database | save_task:31 | Saving task: Take a photo of something beautiful near you...
2026-01-13 22:46:16,104 | INFO     | karma.database | save_task:36 | Task saved: 0821a031-ca2b-48e0-825d-642ce3a4e3f5
2026-01-13 22:46:16,105 | INFO     | karma.api | dispatch:62 | [71acffc9] <-- ✓ 200 (5.9ms) POST /api/quickwin/complete
2026-01-13 22:46:16,256 | INFO     | karma.api | dispatch:36 | [4f9c8f0a] --> POST /api/quickwin/complete (client: 127.0.0.1)
2026-01-13 22:46:16,257 | DEBUG    | karma.database | save_task:31 | Saving task: Take a photo of something beautiful near you...
2026-01-13 22:46:16,260 | INFO     | karma.database | save_task:36 | Task saved: a2ac0fc9-0314-4143-9846-5368c908fe2e
2026-01-13 22:46:16,260 | INFO     | karma.api | dispatch:62 | [4f9c8f0a] <-- ✓ 200 (4.3ms) POST /api/quickwin/complete
2026-01-13 22:46:26,237 | INFO     | karma.api | dispatch:36 | [cf207eb6] --> GET /api/tasks/all (client: 127.0.0.1)
2026-01-13 22:46:26,247 | DEBUG    | karma.api | get_all_tasks:116 | Fetching all tasks
2026-01-13 22:46:26,328 | INFO     | karma.api | get_all_tasks:120 | Retrieved 7 tasks across 2 dates
2026-01-13 22:46:26,331 | INFO     | karma.api | dispatch:62 | [cf207eb6] <-- ✓ 200 (95.5ms) GET /api/tasks/all
2026-01-13 22:46:59,010 | INFO     | karma.api | dispatch:36 | [9d6ebc43] --> GET /api/tasks/continuable (client: 127.0.0.1)
2026-01-13 22:46:59,016 | INFO     | karma.api | get_continuable_tasks:141 | Fetching continuable tasks
2026-01-13 22:46:59,016 | DEBUG    | karma.database | get_continuable_tasks:139 | Fetching continuable tasks
2026-01-13 22:46:59,035 | INFO     | karma.database | get_continuable_tasks:185 | Found 0 in-progress, 0 almost-done tasks
2026-01-13 22:46:59,037 | INFO     | karma.api | dispatch:62 | [9d6ebc43] <-- ✓ 200 (28.0ms) GET /api/tasks/continuable
2026-01-13 22:47:29,055 | INFO     | karma.api | dispatch:36 | [250f6614] --> GET /api/tasks/continuable (client: 127.0.0.1)
2026-01-13 22:47:29,061 | INFO     | karma.api | get_continuable_tasks:141 | Fetching continuable tasks
2026-01-13 22:47:29,062 | DEBUG    | karma.database | get_continuable_tasks:139 | Fetching continuable tasks
2026-01-13 22:47:29,082 | INFO     | karma.database | get_continuable_tasks:185 | Found 0 in-progress, 0 almost-done tasks
2026-01-13 22:47:29,085 | INFO     | karma.api | dispatch:62 | [250f6614] <-- ✓ 200 (30.1ms) GET /api/tasks/continuable
2026-01-13 22:47:34,074 | INFO     | karma.api | dispatch:36 | [62631776] --> GET /api/tasks/continuable (client: 127.0.0.1)
2026-01-13 22:47:34,078 | INFO     | karma.api | get_continuable_tasks:141 | Fetching continuable tasks
2026-01-13 22:47:34,078 | DEBUG    | karma.database | get_continuable_tasks:139 | Fetching continuable tasks
2026-01-13 22:47:34,098 | INFO     | karma.database | get_continuable_tasks:185 | Found 0 in-progress, 0 almost-done tasks
2026-01-13 22:47:34,101 | INFO     | karma.api | dispatch:62 | [62631776] <-- ✓ 200 (27.1ms) GET /api/tasks/continuable
2026-01-13 23:47:20,453 | INFO     | karma.api | dispatch:36 | [975f0738] --> GET /api/tasks/continuable (client: 127.0.0.1)
2026-01-13 23:47:20,470 | INFO     | karma.api | get_continuable_tasks:141 | Fetching continuable tasks
2026-01-13 23:47:20,470 | DEBUG    | karma.database | get_continuable_tasks:139 | Fetching continuable tasks
2026-01-13 23:47:20,528 | INFO     | karma.database | get_continuable_tasks:185 | Found 0 in-progress, 0 almost-done tasks
2026-01-13 23:47:20,534 | INFO     | karma.api | dispatch:62 | [975f0738] <-- ✓ 200 (83.2ms) GET /api/tasks/continuable
2026-01-13 23:48:59,301 | INFO     | karma.api | dispatch:36 | [119b1ff6] --> GET /api/tasks/continuable (client: 127.0.0.1)
2026-01-13 23:48:59,308 | INFO     | karma.api | get_continuable_tasks:141 | Fetching continuable tasks
2026-01-13 23:48:59,308 | DEBUG    | karma.database | get_continuable_tasks:139 | Fetching continuable tasks
2026-01-13 23:48:59,337 | INFO     | karma.database | get_continuable_tasks:185 | Found 0 in-progress, 0 almost-done tasks
2026-01-13 23:48:59,342 | INFO     | karma.api | dispatch:62 | [119b1ff6] <-- ✓ 200 (42.5ms) GET /api/tasks/continuable
2026-01-13 23:49:00,260 | INFO     | karma.api | dispatch:36 | [043cf084] --> GET /api/tasks/continuable (client: 127.0.0.1)
2026-01-13 23:49:00,261 | INFO     | karma.api | get_continuable_tasks:141 | Fetching continuable tasks
2026-01-13 23:49:00,261 | DEBUG    | karma.database | get_continuable_tasks:139 | Fetching continuable tasks
2026-01-13 23:49:00,278 | INFO     | karma.database | get_continuable_tasks:185 | Found 0 in-progress, 0 almost-done tasks
2026-01-13 23:49:00,280 | INFO     | karma.api | dispatch:62 | [043cf084] <-- ✓ 200 (20.0ms) GET /api/tasks/continuable
2026-01-13 23:49:02,279 | INFO     | karma.api | dispatch:36 | [26cd98ff] --> GET /api/quickwin/get (client: 127.0.0.1)
2026-01-13 23:49:02,284 | INFO     | karma.api | dispatch:62 | [26cd98ff] <-- ✓ 200 (5.4ms) GET /api/quickwin/get
2026-01-13 23:49:03,399 | INFO     | karma.api | dispatch:36 | [24d3ad49] --> POST /api/quickwin/complete (client: 127.0.0.1)
2026-01-13 23:49:03,404 | DEBUG    | karma.database | save_task:31 | Saving task: Send a 'thinking of you' text to a friend...
2026-01-13 23:49:03,412 | INFO     | karma.database | save_task:36 | Task saved: a09718e6-a2a1-4f5d-b352-295d0d7c1097
2026-01-13 23:49:03,414 | INFO     | karma.api | dispatch:62 | [24d3ad49] <-- ✓ 200 (14.9ms) POST /api/quickwin/complete
2026-01-13 23:49:30,321 | INFO     | karma.api | dispatch:36 | [c61cb6e5] --> GET /api/tasks/continuable (client: 127.0.0.1)
2026-01-13 23:49:30,323 | INFO     | karma.api | get_continuable_tasks:141 | Fetching continuable tasks
2026-01-13 23:49:30,323 | DEBUG    | karma.database | get_continuable_tasks:139 | Fetching continuable tasks
2026-01-13 23:49:30,341 | INFO     | karma.database | get_continuable_tasks:185 | Found 0 in-progress, 0 almost-done tasks
2026-01-13 23:49:30,342 | INFO     | karma.api | dispatch:62 | [c61cb6e5] <-- ✓ 200 (21.4ms) GET /api/tasks/continuable
2026-01-13 23:50:00,374 | INFO     | karma.api | dispatch:36 | [1af3cf64] --> GET /api/tasks/continuable (client: 127.0.0.1)
2026-01-13 23:50:00,379 | INFO     | karma.api | get_continuable_tasks:141 | Fetching continuable tasks
2026-01-13 23:50:00,380 | DEBUG    | karma.database | get_continuable_tasks:139 | Fetching continuable tasks
2026-01-13 23:50:00,402 | INFO     | karma.database | get_continuable_tasks:185 | Found 0 in-progress, 0 almost-done tasks
2026-01-13 23:50:00,406 | INFO     | karma.api | dispatch:62 | [1af3cf64] <-- ✓ 200 (32.9ms) GET /api/tasks/continuable
2026-01-13 23:50:38,689 | INFO     | karma.api | dispatch:36 | [ae57a5a8] --> GET /api/tasks/continuable (client: 127.0.0.1)
2026-01-13 23:50:38,695 | INFO     | karma.api | get_continuable_tasks:141 | Fetching continuable tasks
2026-01-13 23:50:38,696 | DEBUG    | karma.database | get_continuable_tasks:139 | Fetching continuable tasks
2026-01-13 23:50:38,731 | INFO     | karma.database | get_continuable_tasks:185 | Found 0 in-progress, 0 almost-done tasks
2026-01-13 23:50:38,732 | INFO     | karma.api | dispatch:62 | [ae57a5a8] <-- ✓ 200 (42.9ms) GET /api/tasks/continuable
2026-01-13 23:51:15,568 | INFO     | karma.api | dispatch:36 | [cf94c3da] --> GET /api/tasks/continuable (client: 127.0.0.1)
2026-01-13 23:51:15,577 | INFO     | karma.api | get_continuable_tasks:141 | Fetching continuable tasks
2026-01-13 23:51:15,578 | DEBUG    | karma.database | get_continuable_tasks:139 | Fetching continuable tasks
2026-01-13 23:51:15,617 | INFO     | karma.database | get_continuable_tasks:185 | Found 0 in-progress, 0 almost-done tasks
